Name,Party,Status 20221114,Year,Twitter,Href,Position,State
Katie Britt,Republican,Date Elected,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/KatieBrittforAL', 'Personal Twitter': 'https://www.twitter.com/KatieBoydBritt'})",https://ballotpedia.org/Katie_Britt,U.S. Senate,Alabama
Will Boyd,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/willboydforAL', 'Personal Twitter': 'https://www.twitter.com/drwillboyd'})",https://ballotpedia.org/Will_Boyd_(Alabama),U.S. Senate,Alabama
John Sophocleus,Libertarian,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/John_Sophocleus,U.S. Senate,Alabama
Mo Brooks,Republican,Last elected,2020.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/RepMoBrooks', 'Campaign Twitter': 'https://www.twitter.com/MoBrooks'})",https://ballotpedia.org/Mo_Brooks,U.S. Senate,Alabama
Brandaun Dean,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/brandaundean'})",https://ballotpedia.org/Brandaun_Dean,U.S. Senate,Alabama
Lanny Jackson,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Lanny_Jackson,U.S. Senate,Alabama
Michael Durant,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Michael_Durant,U.S. Senate,Alabama
Jake Schafer,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/TheBlueSquire'})",https://ballotpedia.org/Jake_Schafer_(Alabama),U.S. Senate,Alabama
Karla DuPriest,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Karla_DuPriest,U.S. Senate,Alabama
Lillie Boddie,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Lillie_Boddie,U.S. Senate,Alabama
Tommy Tuberville,Republican,Last elected,2020.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/SenTuberville', 'Campaign Twitter': 'https://www.twitter.com/TTuberville'})",https://ballotpedia.org/Tommy_Tuberville,U.S. Senate,Alabama
Doug Jones,Democratic,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/dougjonesHQ', 'Personal Twitter': 'https://www.twitter.com/DougJones'})",https://ballotpedia.org/Doug_Jones_(Alabama),U.S. Senate,Alabama
Jeff Sessions,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/jeffsessions'})",https://ballotpedia.org/Jeff_Sessions,U.S. Senate,Alabama
Bradley Byrne,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/RepByrne', 'Campaign Twitter': 'https://www.twitter.com/BradleyByrne'})",https://ballotpedia.org/Bradley_Byrne,U.S. Senate,Alabama
Roy Moore,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/realJudgeMoore'})",https://ballotpedia.org/Roy_Moore,U.S. Senate,Alabama
Ruth Page Nelson,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Ruth_Page_Nelson,U.S. Senate,Alabama
